(Anonymous) Stat Unit ID	Background (degree)	Expected work sectors	Programming Languages	Hard Worker (0-5)	Ambitious (0-5)	Expected remuneration (monthly)	Benefits	Team leader or Team player ?	Enterpreneurial attitude (0-5)	Preferred Workload	Scalability	Most recent working position	Sex	Age	weight	height	# of siblings	Main Interests	Main hobbies	Play some instruments? Which ones?	Would you like to maintain a YT channel ?	Sports	Dream Works	Priorities in Life	Country	Primary language(s)	Secondary language(s)	Can this be a "representative" sample of larger populations ? If yes, which ones?	Do you think that looking at other answers is influencing your responses? Why?
1933541	Engineering in computer science 	cybersecurity 	C, Python, java, JavaScript, PHP, assembly, C++, Ruby on Rails, (other languages: HTML e CSS, mySQL)	5	4			Team leader	2	8 hours per day	Yes	-	F	22				Cybersecurity 	-	No	No	-	Cybersecurity engineer 	Happiness	Italy	Italian	English 	No	No
1933529	Computer and System Engineering	cybersecurity 	PHP, Java, JavaScript, Python, Ruby on rails, C, C++, assembly, 	5	5			Team leader	3	6 hours per day	Yes	-	M	22				Cybersecurity	Gaming	No	No	Rugby	Cybersecurity engineer	Happiness	Italy	Italian		No	No
31337	Computer Science	cybersecurity 	C, Python, Java, PHP, JS, C#, ...	5	5	2500	Health assurance	Team player	3	8 hours per day	Yes	Penetration Tester	M	22	66	173	1	Vulnerability Research	CTFs	No	Maybe	Krav Maga	Vulnerability researcher	Happiness	Italy	Italian	English, French	No	No
2111409	Computer Science and Engineering 	cybersecurity 	c, java, angular, html, css	5	5			team leader 	3	8 hours  per day	yes	software developer 	F	23				Cybersecurity 	Crafting 	No	Don't know 	Badminton 	Forensic 	Happiness	India	English	Hindi	No	No
309200	Computer Engineering	Cybersecurity 	C, Java, MySQL	5	5				3	6 hours per day	yes		M	23	96	176		Cybersecurity 	Workout 		no 	rugby	Cybersecurity engineer	Health and happines	Italy	Italian, Albanian	English	no	no
1234567	Software and Information Engineering	Cybersecurity 	C,Java, Python, JavaScritp, PHP, SQL, Haskell, assembly, C++, 	5	5			Team player	4	8 hours per day	yes	software developer	M	21	84	176		Cybersecurity	Football	Percussion instruments	No	Football	Vulnerability researcher	Happiness	Italy	Italian		yes	no
2150048	Computer Engineering	Cybersecurity 	Java,Python,PHP,SQL...	5	5			Team leader	3	6 hours per day	yes		F	23				Cybersecurity	skiing,roller skating	Piano and Guitar	no	skiing,roller skating	Cybersecurity engineer	Health and happiness	Italy	Italian,English,French,German		No	no
1600	Computer Engineering	Cybersecurity 	C, C++, C#, Javascript, PHP, x86 Assembly, Python, CSS, Typoscript, MySQL	5	5			Team player	3	6 hours per day	Yes	Quality Assurance	M	23	45	173		Cybersecurity	Pro gaming	No	No	-	Cybersecurity manager/engineer	Family 	Italy	Italian, English 		No	No
1843916	Computer Science	Cybersecurity 	C++, Java, Python, Assembly, Javascript, MySQL	5	4			Team player	3	6 hours per day	Yes	Help desk	M	24	100	18		Cybersecurity	Reading	No	No	-	Cybersecurity engineer	Family 	Italy	Italian, English 		Yes, as we are grouped by a common feature; for example we are university students whose studies are related to cybersecurity.	No, as it only stimulates my curiosity.
1811290	Computer Science	Cybersecurity	C, C++, C#, Java, Javascript, Typescript, HTML, Assembly, Python, MySQL	5	4			Team leader	4	8 hours per day		-	M	24				Cybersecurity		No	No	Football, Handball	Own IT Company	Health and happiness	Italy	Italian, French	English, German	Yes	No
1888414	Computer Science	Cybersecurity	C, Java, Python, Assembly, haskell, LM	5	5	2100		Team player	2	6 hours per day	Yes	Software analyst	M	23	63	172	2	Cybersecurity	Gaming	Guitar	Maybe	-	Penetration tester (Red Team)	Happiness	Italy	Italian	English	Yes, students	No, this survey is anonymous.
2139837	Computer Science	Cybersecurity 	C++, Java, Python, Assembly, Javascript, MySQL	5	5			Team player	3	6 Hours per day	Yes	- 	M	21				Cybersecurity	Football	No	No	Football	Cybersecurity Manager/engineer	Family 	Italy	Italian	English	Yes, students of this course	Maybe
ZioSaba	Computer Engineering	Cybersecurity	C, Python, Java, JavaScript, Assembly, MySQL, C++, Scala, HTML, Ruby on Rails, PHP	4	4			Team player	1	6 hours per day	Yes	-	M	25	63	168		Malware Analysis	Longboard, Gaming	Guitar	No	Longboard, Gym	Malware Analysis	Health and happiness	Italy	Italian	English	no	no
coder	Computer Science	Cybersecurity	C, C++, Java, JavaScript, Python, MySQL, ...	5	4			Team player	3	6 hourds per day	Yes	Software Developer	M	22	72	181		Cybersecurity	-	No	No	Football	Penetration Tester	Health and happiness	Italy	Italian, Albanian	English	Yes, students of cybersecurity	No
2132174	Computer Engineering 	Cybersecurity 	C, C++, C#, Java, Python, Visual Basic, Assembly, MySQL, JavaScript, Typescript, OCaml, Rust	5	6			Team leader	4	6 hours per day	Yes 	IT/ICT Engineer	M	22				Cybersecurity 	Sports	No	No	Swimming, Trekking 	Penetration Tester/Cybersecurity Engineer 	Happiness 	Italy	Italian	English	Yes, it can be a sample for all Cybersecurity courses	No
1882582	Computer Science	Cybersecurity	Java,Python,HTML,PHP,SQL,JavaScript,CSS	5	5			Team leader	3	8 hours per day	yes	-	M	22				Cybersecurity	gym, padel, swim	no	no	swim, padel, football	Cybersecurity engineer	Health and happiness	italy	italian	english	yes	no
a contributor	Computer Engineering	Cybersecurity	C, Java; Python, SQL, Powershell (Scripting Language)	4	5	3000		Team leader	2	8 hours per day	Yes	IT consultant / Azure cloud admin	M	25	72	186	1	Cybersecurity (blue team)	gaming, music listening	no	no	Tennis	Cybersecurity manager/engineer	Health	Italy	Italian	English, French	no	no
1813358	Computer Engineering	Cybersecurity	C, Java, Pyhton, SQL, HTML, PHP, JavaScript, CSS, C++, x86 Assembly	5	4			Team leader	3	6 hours per day	Yes	-	M	21	73	171		Cybersecurity	Gaming	Guitar	No	Tennis, Running	Cybersecurity engineer	Happiness	Italy	Italian, English 		Yes, student in computer science	No
anonymous	Computer Science	Cybersecurity	C, Java, Python, MySQL, Assembly, JavaScript	5	5			Team leader	4	6-8h per day	Yes	-	M	21				Cybersecuity	Sports	No	No	Tennis, Basket, Swimming	Cybersecurity related	Work, personal relations	Italy	Italian	English, Spanish	Yes, Sapienza University students	No
1941541	Computer Science	Cybersecurity	C, Java, Pyhon, SQL, x86 Assembly, JavaScript, HTML, CSS, Go, Solidity	5	5			Team leader	4	8 hours per day	Yes	-	M	21				Cybersecurity	Playing music	Guitar	Maybe	Gym, Calisthenics	Red Teaming	Freedom, fulfillment	Italy	Italian	English	no	Yes
2468100	Computer Science	Tech	Python, Javascript, C	5	5			Team Leader	3	6 hours	No	Software Developer	M	23				Privacy	-	no	no	-	Traveller	Health	Italy	Italian	English	no	yes
1933472	Engineering in Computer Science 	Cybersecurity, Computer Science, Software Development	Python, Javascript, C, HTML, PHP, CSS, Ruby on Rails, Assembly, SQL, Java	5	4			Team Leader	2	6-8 Hours per day	Yes	IT Consultant	F	22				Cybercrime and Forensics	Listening to Music, Gaming, Watching Films and TV Series	No	No	Swimming, Gym	Forensics	Health, Happiness and Personal Fulfillment	Italy	Italian	English	Yes, Sapienza University Students enrolled in Cybersecurity Master Degree	No, but I'm curious to see other answers
